regid,geom
1825defc-dee9-42b4-9633-97e3517027bf,"{""type"": ""Point"", ""coordinates"": [-73.88581168837845, 40.86717549832656]}"
c29bd16d-38e4-4ac9-9dba-fb9d32fe8f21,"{""type"": ""Point"", ""coordinates"": [-74.03640883974732, 40.61210408290189]}"
593f2d3f-6c0e-4087-a819-6bed07132f48,"{""type"": ""Point"", ""coordinates"": [-74.19299125671388, 40.527623154089035]}"
4dac79a2-ec7a-48e6-8294-6a4ca40732c1,"{""type"": ""Point"", ""coordinates"": [-73.87403905391695, 40.67269249111924]}"
c3d5d4fc-eca0-4d75-8a83-d2826c38f1a0,"{""type"": ""Point"", ""coordinates"": [-73.99154126644136, 40.670922619553195]}"
d1f48230-33b9-4223-9e8b-55321f7ec2c5,"{""type"": ""Point"", ""coordinates"": [-73.93350362777711, 40.80591613473841]}"
8bad6aa7-d007-46fc-9383-7f7a653b64dd,"{""type"": ""Point"", ""coordinates"": [-73.9086972596124, 40.81350392156609]}"
a4948693-9ba8-42b1-8d01-06e283266872,"{""type"": ""Point"", ""coordinates"": [-73.93582107732074, 40.82722914726949]}"
10dbf9ac-9a37-4130-bf0d-cc9602431afd,"{""type"": ""Point"", ""coordinates"": [-73.90554011100905, 40.812775462659935]}"
c9d86b74-96c2-4c6c-991b-f1c5295d295a,"{""type"": ""Point"", ""coordinates"": [-73.79448473453523, 40.737441526656085]}"
94a872da-ee15-4286-87a0-1ba6a493fc3c,"{""type"": ""LineString"", ""coordinates"": [[-73.79104614257814, 40.7393884715907], [-73.78733396530153, 40.73160034996208]]}"
276728c0-5ee9-48cc-b484-205db6bf9da3,"{""type"": ""Point"", ""coordinates"": [-73.8078421354294, 40.66746818317838]}"
768dc484-2cec-4971-bed4-378ce302111c,"{""type"": ""LineString"", ""coordinates"": [[-73.76272201538087, 40.73535632201996], [-73.74328136444093, 40.73893324113603]]}"
7516b645-dda0-48bd-ac35-ec0f4e7c1c52,"{""type"": ""Point"", ""coordinates"": [-73.9192133001052, 40.70429700105323]}"
992ddeda-0da1-49e3-84e2-a034d572ea21,"{""type"": ""LineString"", ""coordinates"": [[-73.92264604568483, 40.82049164246351], [-73.92567157745363, 40.82114929181685]]}"
63dff732-af6e-4ba6-ae3b-35672dbeaf8a,"{""type"": ""LineString"", ""coordinates"": [[-73.80419969558717, 40.701479871043176], [-73.80241870880128, 40.697868402219896]]}"
b3ad5ad3-1816-4b71-a308-a89e8b1074c1,"{""type"": ""LineString"", ""coordinates"": [[-73.9505137782544, 40.70740610142683], [-73.93995199352503, 40.70837264998885]]}"
6953c53c-385a-42ad-989d-ff4c0cb71345,"{""type"": ""Point"", ""coordinates"": [-74.18861389160158, 40.639227866411176]}"
65bc8a3e-8d54-47f5-a0c6-b5de7d403966,"{""type"": ""Point"", ""coordinates"": [-73.90504002571107, 40.69612766939108]}"
90e7da58-3629-4ad4-92c1-9d6f51c76d97,"{""type"": ""Point"", ""coordinates"": [-73.92236173152925, 40.775016843891606]}"
ed0cd2f3-f473-495a-8879-37691018b479,"{""type"": ""Point"", ""coordinates"": [-74.0167808532715, 40.70343600156968]}"
17af8b83-aca9-4619-bbc6-2cf1934aa527,"{""type"": ""Point"", ""coordinates"": [-73.99347245693208, 40.752194615904116]}"
084d1257-d3a7-434d-9b20-efb97eab341d,"{""type"": ""Point"", ""coordinates"": [-73.87403368949892, 40.672664010799295]}"
af2fa839-50d3-48b8-b4a9-5521c673d801,"{""type"": ""Point"", ""coordinates"": [-74.07688379287721, 40.64677036876414]}"
67079877-076f-4096-8f87-c2c1a1ec37c8,"{""type"": ""Point"", ""coordinates"": [-73.92891239840539, 40.86730165286133]}"
